# Format version: 1.5
# Report generated by Certitude W-2024.09-1 - 5682288 - 2024
# Report generated at 2025-2-13 14:46:24

# TopName:	work.control_unit

#s Status at 2025-2-13 14:46:24
#s 
#s Fault Model Phase (W-2024.09-1): Started on 2025-02-13 at 12:24:14, completed on 2025-02-13 at 12:24:41
#s Design status:
#s      0 Modules/Entities are not instantiated 
#s      0 Modules/Entities having faults are not instantiated 
#s Optimizer elaboration status : succeeded
#s      0 Modules/Entities elaboration failed
#s      0 Modules/Entities having faults elaboration failed
#s      0 Modules/Entities are undefined (black-boxes)
#s Fault Activation Phase: Started on 2025-02-13 at 12:24:47, completed on 2025-02-13 at 12:25:26
#s Fault Detection Phase: Started on 2025-02-13 at 12:25:32, completed on 2025-02-13 at 12:35:49
#s Metric computation: Not executed
#s Regression Phase: Not executed
#s 
#s Full design status
#s Faults injected in the design:
#s    424 Faults are injected in the design
#s    362 Faults are considered for status
#s      2 Faults are disabled by Certitude
#s      0 Faults are disabled by user
#s      0 Faults are not yet qualified
#s    192 Faults are dropped
#s 
#s      8 Faults are non-activated
#s      7 Faults are non-propagated
#s    152 Faults are detected
#s      1 Fault is non-detected

# Certitude configuration
# Config Type  Configuration Option Name                       Value 
PubConf        IncludePaths                                    input 
PubConf        InstrumentationDirectory                        /study/2025/521406S/personal/aimtiaz23/DT3_2025/project/workdir/control_unit_certitude_hdl_files 
PubConf        ReportFormat                                    text 
PubConf        Simulator                                       vcs 
PubConf        SimulatorBitWidth                               64 
PubConf        SupportMdaForConnectivityOnNonQualifiedBlocks   true 
PubConf        TopName                                         work.control_unit 
PubConf        VerdiInitCommand                                {debImport -top work.control_unit_tb -path . -simflow} 
PubConf        WaveDump                                        true 

# The following configuration options require model to be run to be effective:
#  Configuration Option Name  Current Value  New Value  


# Testcase statistics
# Test 	 Run 	 Activated 	 # of runs in 	 Propagated 	 Detected 	 Test
#   ID 	 time 	 Faults 	 Detection 	 Faults 	 Faults 	 name
T1 	 00:00:06.66	 351	 155	 153	 152	 1

# File
#	ID	Name
File	1	/study/2025/521406S/personal/aimtiaz23/DT3_2025/project/workdir/input/control_unit.sv
File	2	/study/2025/521406S/personal/aimtiaz23/DT3_2025/project/workdir/input/audioport.svh

# Hierarchical Instance Name Identifier
# ID	Hierarchical
# ..	  Instance
# ..	    Name
H1	work.control_unit

# Fault
# ID	Type	Status	E/I	Formal	Line	HINI	Module	File
# ..	....	......	...	.Port.	....	....	.Name.	.ID.
1	SA0	D	I:1	PRDATA	15	H1	control_unit	1
2	SA1	D	-	PRDATA	15	H1	control_unit	1
3	OutPN	D	-	PRDATA	15	H1	control_unit	1
4	SA0	DBC	E	PSLVERR	16	H1	control_unit	1
5	SA1	D	I:5	PSLVERR	16	H1	control_unit	1
6	OutPN	DBC	I:5	PSLVERR	16	H1	control_unit	1
7	SA0	NA	-	PREADY	17	H1	control_unit	1
8	SA1	DBC	E	PREADY	17	H1	control_unit	1
9	OutPN	NA	-	PREADY	17	H1	control_unit	1
10	SA0	D	-	irq_out	18	H1	control_unit	1
11	SA1	D	-	irq_out	18	H1	control_unit	1
12	OutPN	D	-	irq_out	18	H1	control_unit	1
13	SA0	D	-	cfg_reg_out	19	H1	control_unit	1
14	SA1	D	-	cfg_reg_out	19	H1	control_unit	1
15	OutPN	D	-	cfg_reg_out	19	H1	control_unit	1
16	SA0	D	-	level_reg_out	20	H1	control_unit	1
17	SA1	D	-	level_reg_out	20	H1	control_unit	1
18	OutPN	D	-	level_reg_out	20	H1	control_unit	1
19	SA0	D	-	dsp_regs_out	21	H1	control_unit	1
20	SA1	D	-	dsp_regs_out	21	H1	control_unit	1
21	OutPN	D	-	dsp_regs_out	21	H1	control_unit	1
22	SA0	D	-	cfg_out	22	H1	control_unit	1
23	SA1	D	-	cfg_out	22	H1	control_unit	1
24	OutPN	D	-	cfg_out	22	H1	control_unit	1
25	SA0	D	-	clr_out	23	H1	control_unit	1
26	SA1	D	-	clr_out	23	H1	control_unit	1
27	OutPN	D	-	clr_out	23	H1	control_unit	1
28	SA0	D	-	level_out	24	H1	control_unit	1
29	SA1	D	-	level_out	24	H1	control_unit	1
30	OutPN	D	-	level_out	24	H1	control_unit	1
31	SA0	D	I:31	tick_out	25	H1	control_unit	1
32	SA1	D	-	tick_out	25	H1	control_unit	1
33	OutPN	D	-	tick_out	25	H1	control_unit	1
34	SA0	D	-	audio0_out	26	H1	control_unit	1
35	SA1	D	-	audio0_out	26	H1	control_unit	1
36	OutPN	D	-	audio0_out	26	H1	control_unit	1
37	SA0	D	-	audio1_out	27	H1	control_unit	1
38	SA1	D	-	audio1_out	27	H1	control_unit	1
39	OutPN	D	-	audio1_out	27	H1	control_unit	1
40	SA0	D	-	play_out	28	H1	control_unit	1
41	SA1	D	-	play_out	28	H1	control_unit	1
42	OutPN	D	-	play_out	28	H1	control_unit	1
43	DeadA	D	-	-	42	H1	control_unit	1
